Date,Open,High,Low,Close,Adj Close,Volume
2000-10-18,15.869230270385742,16.05769157409668,15.865384101867676,15.961538314819336,5.82037878036499,15145260
2000-10-19,15.384614944458008,15.576923370361328,14.80769157409668,15.529230117797852,5.662735939025879,1434680
2000-10-20,15.484615325927734,15.673075675964355,15.384614944458008,15.384614944458008,5.610001564025879,263120
2000-10-23,15.096153259277344,15.096153259277344,14.279230117797852,14.90384578704834,5.434689998626709,615940
2000-10-24,14.615384101867676,14.760000228881836,14.326923370361328,14.423075675964355,5.2593770027160645,674310
2000-10-25,13.846153259277344,13.942307472229004,13.510000228881836,13.65384578704834,4.978878498077393,559260
2000-10-26,13.846153259277344,14.038460731506348,13.798460960388184,14.038460731506348,5.11912727355957,159250
2000-10-27,14.230769157409668,14.615384101867676,14.230769157409668,14.615384101867676,5.329504489898682,234780
2000-10-30,14.567691802978516,14.567691802978516,14.230769157409668,14.423075675964355,5.2593770027160645,181870
2000-10-31,15.0,15.288460731506348,14.856152534484863,15.240769386291504,5.557550430297852,335270
2000-11-01,15.484615325927734,15.576923370361328,15.433075904846191,15.529230117797852,5.662735939025879,288210
2000-11-02,15.623076438903809,15.625384330749512,15.048460960388184,15.240769386291504,5.557550430297852,170170
2000-11-03,15.723075866699219,15.769229888916016,15.576923370361328,15.673075675964355,5.715188980102539,437710
2000-11-06,16.39230728149414,16.586923599243164,16.25,16.490768432617188,6.013362407684326,980720
2000-11-07,16.490768432617188,16.490768432617188,16.153846740722656,16.25,5.925565242767334,377650
2000-11-08,16.05769157409668,16.05769157409668,15.769229888916016,15.769229888916016,5.750252723693848,147030
2000-11-09,15.769229888916016,15.769229888916016,15.336922645568848,15.576923370361328,5.6801276206970215,105950
2000-11-10,15.480769157409668,15.480769157409668,15.192307472229004,15.288460731506348,5.574938774108887,55770
2000-11-13,15.192307472229004,15.192307472229004,14.711538314819336,14.90384578704834,5.434689998626709,343330
2000-11-14,15.530769348144531,15.817691802978516,15.433075904846191,15.817691802978516,5.767925262451172,681070
2000-11-15,15.721537590026855,15.721537590026855,15.576923370361328,15.673075675964355,5.715188980102539,95550
2000-11-16,15.625384330749512,16.202306747436523,15.625384330749512,16.153846740722656,5.890505313873291,338260
2000-11-17,16.061538696289062,16.346153259277344,15.961538314819336,16.05769157409668,5.855438709259033,124150
2000-11-20,15.961538314819336,15.961538314819336,15.673075675964355,15.721537590026855,5.732861518859863,81900
2000-11-21,15.769229888916016,15.769229888916016,15.384614944458008,15.529230117797852,5.662735939025879,152360
2000-11-22,15.336922645568848,15.336922645568848,14.711538314819336,14.80769157409668,5.399626731872559,128960
