Open,High,Low,Close,Adj Close,Volume,Date
8.140625,8.25,8.03125,8.1875,0.8008197546005249,109600,1981-12-31
8.15625,8.15625,8.125,8.125,0.7947067022323608,80800,1982-01-04
8.03125,8.125,7.90625,7.90625,0.7733103036880493,138400,1982-01-05
7.78125,7.90625,7.65625,7.71875,0.7549713253974915,151600,1982-01-06
7.6875,7.71875,7.625,7.65625,0.7488582134246826,96800,1982-01-07
7.71875,7.75,7.65625,7.6875,0.7519147396087646,258800,1982-01-08
7.59375,7.6875,7.46875,7.46875,0.7305186986923218,160000,1982-01-11
7.3125,7.46875,7.125,7.28125,0.7121795415878296,249200,1982-01-12
7.21875,7.3125,7.125,7.15625,0.6999531984329224,227200,1982-01-13
7.1875,7.25,7.125,7.1875,0.7030093669891357,52800,1982-01-14
7.25,7.3125,7.1875,7.25,0.709122896194458,75200,1982-01-15
7.1875,7.25,7.09375,7.09375,0.6938400268554688,243200,1982-01-18
7.28125,7.34375,7.21875,7.3125,0.7152358293533325,395600,1982-01-19
7.5,7.65625,7.3125,7.59375,0.7427448034286499,548000,1982-01-20
7.75,7.8125,7.65625,7.75,0.7580276131629944,395600,1982-01-21
7.71875,7.75,7.6875,7.71875,0.7549713253974915,341600,1982-01-22
7.6875,7.71875,7.625,7.71875,0.7549713253974915,253600,1982-01-25
7.75,7.8125,7.65625,7.65625,0.7488582134246826,262800,1982-01-26
7.59375,7.65625,7.5,7.5,0.7335754036903381,349600,1982-01-27
7.53125,7.59375,7.46875,7.5,0.7335754036903381,154000,1982-01-28
7.71875,7.84375,7.5625,7.8125,0.7641412615776062,309600,1982-01-29
7.71875,7.78125,7.625,7.625,0.7458016276359558,272000,1982-02-01
7.625,7.6875,7.53125,7.625,0.7458016276359558,140400,1982-02-02
7.65625,7.75,7.5625,7.5625,0.7396885752677917,142000,1982-02-03
7.59375,7.625,7.53125,7.5625,0.7396885752677917,93600,1982-02-04
7.8125,7.90625,7.6875,7.875,0.7702541947364807,149600,1982-02-05
8.0,8.0625,7.90625,7.9375,0.7763674855232239,177200,1982-02-08
8.0,8.03125,7.96875,8.0,0.7824800610542297,108400,1982-02-09
